audience_id,campaign_id,client_id,group_type,assigned_at
1,1,173,test,2025-03-01
2,1,1205,test,2025-03-01
3,1,1394,test,2025-03-01
4,1,2049,control,2025-03-01
5,1,1705,test,2025-03-01
6,1,2445,test,2025-03-01
7,1,1110,test,2025-03-01
8,1,2235,control,2025-03-01
9,1,73,test,2025-03-01
10,1,1279,test,2025-03-01
11,1,1065,test,2025-03-01
12,1,2129,control,2025-03-01
13,1,1006,test,2025-03-01
14,1,2817,test,2025-03-01
15,1,2734,test,2025-03-01
16,1,2450,test,2025-03-01
17,1,2617,test,2025-03-01
18,1,2900,test,2025-03-01
19,1,1451,test,2025-03-01
20,1,831,test,2025-03-01
21,1,473,test,2025-03-01
22,1,1474,test,2025-03-01
23,1,1207,control,2025-03-01
24,1,102,test,2025-03-01
25,1,1092,test,2025-03-01
26,1,752,test,2025-03-01
27,1,2813,test,2025-03-01
28,1,2527,control,2025-03-01
29,1,945,test,2025-03-01
30,1,1163,test,2025-03-01
31,1,1597,test,2025-03-01
32,1,1424,control,2025-03-01
33,1,1346,test,2025-03-01
34,1,1625,test,2025-03-01
35,1,2542,test,2025-03-01
36,1,548,test,2025-03-01
37,1,2324,test,2025-03-01
38,1,130,control,2025-03-01
39,1,2624,test,2025-03-01
40,1,1124,test,2025-03-01
41,1,2804,test,2025-03-01
42,1,565,test,2025-03-01
43,1,2999,test,2025-03-01
44,1,1794,control,2025-03-01
45,1,1441,test,2025-03-01
46,1,311,test,2025-03-01
47,1,1397,test,2025-03-01
48,1,270,test,2025-03-01
49,1,777,test,2025-03-01
50,1,2767,test,2025-03-01
51,1,157,control,2025-03-01
52,1,603,test,2025-03-01
53,1,2197,test,2025-03-01
54,1,2757,test,2025-03-01
55,1,585,test,2025-03-01
56,1,1807,test,2025-03-01
57,1,1775,test,2025-03-01
58,1,494,test,2025-03-01
59,1,210,test,2025-03-01
60,1,2335,test,2025-03-01
61,1,2899,test,2025-03-01
62,1,634,test,2025-03-01
63,1,573,test,2025-03-01
64,1,2837,test,2025-03-01
65,1,2079,test,2025-03-01
66,1,1756,test,2025-03-01
67,1,2773,test,2025-03-01
68,1,1754,test,2025-03-01
69,1,497,test,2025-03-01
70,1,1080,test,2025-03-01
71,1,163,test,2025-03-01
72,1,559,test,2025-03-01
73,1,1404,test,2025-03-01
74,1,1492,test,2025-03-01
75,1,1300,test,2025-03-01
76,1,71,test,2025-03-01
77,1,2810,test,2025-03-01
78,1,1611,test,2025-03-01
79,1,2832,test,2025-03-01
80,1,2675,test,2025-03-01
81,1,2478,control,2025-03-01
82,1,1462,test,2025-03-01
83,1,2870,control,2025-03-01
84,1,320,test,2025-03-01
85,1,2159,test,2025-03-01
86,1,728,control,2025-03-01
87,1,1669,test,2025-03-01
88,1,2859,test,2025-03-01
89,1,1120,test,2025-03-01
90,1,2838,test,2025-03-01
91,1,2944,control,2025-03-01
92,1,2443,test,2025-03-01
93,1,2499,control,2025-03-01
94,1,1176,test,2025-03-01
95,1,308,test,2025-03-01
96,1,2760,test,2025-03-01
97,1,91,test,2025-03-01
98,1,1543,test,2025-03-01
99,1,503,test,2025-03-01
100,1,2236,test,2025-03-01
101,1,1837,test,2025-03-01
102,1,1321,test,2025-03-01
103,1,2393,test,2025-03-01
104,1,632,test,2025-03-01
105,1,1081,test,2025-03-01
106,1,2186,test,2025-03-01
107,1,23,control,2025-03-01
108,1,79,test,2025-03-01
109,1,2646,test,2025-03-01
110,1,852,test,2025-03-01
111,1,2166,test,2025-03-01
112,1,2797,test,2025-03-01
113,1,1077,test,2025-03-01
114,1,474,test,2025-03-01
115,1,2425,test,2025-03-01
116,1,2148,test,2025-03-01
117,1,1906,test,2025-03-01
118,1,2353,test,2025-03-01
119,1,1214,test,2025-03-01
120,1,234,test,2025-03-01
121,1,2310,control,2025-03-01
122,1,2531,test,2025-03-01
123,1,1560,test,2025-03-01
124,1,2466,control,2025-03-01
125,1,2788,test,2025-03-01
126,1,748,test,2025-03-01
127,1,39,control,2025-03-01
128,1,2374,test,2025-03-01
129,1,1377,test,2025-03-01
130,1,115,test,2025-03-01
131,1,844,test,2025-03-01
132,1,2963,test,2025-03-01
133,1,2550,test,2025-03-01
134,1,927,test,2025-03-01
135,1,932,test,2025-03-01
136,1,804,test,2025-03-01
137,1,1764,test,2025-03-01
138,1,1584,test,2025-03-01
139,1,921,test,2025-03-01
140,1,267,test,2025-03-01
141,1,2562,test,2025-03-01
142,1,2668,test,2025-03-01
143,1,2030,test,2025-03-01
144,1,175,test,2025-03-01
145,1,215,test,2025-03-01
146,1,669,test,2025-03-01
147,1,1856,test,2025-03-01
148,1,620,test,2025-03-01
149,1,426,test,2025-03-01
150,1,1286,test,2025-03-01
151,1,1336,test,2025-03-01
152,1,240,test,2025-03-01
153,1,2212,test,2025-03-01
154,1,2162,test,2025-03-01
155,1,2582,test,2025-03-01
156,1,453,test,2025-03-01
157,1,184,test,2025-03-01
158,1,1686,test,2025-03-01
159,1,2854,test,2025-03-01
160,1,1465,test,2025-03-01
161,1,562,test,2025-03-01
162,1,646,test,2025-03-01
163,1,1940,test,2025-03-01
164,1,2234,test,2025-03-01
165,1,229,test,2025-03-01
166,1,1604,test,2025-03-01
167,1,537,test,2025-03-01
168,1,2256,test,2025-03-01
169,1,35,test,2025-03-01
170,1,2413,test,2025-03-01
171,1,2657,test,2025-03-01
172,1,118,test,2025-03-01
173,1,1170,test,2025-03-01
174,1,1448,control,2025-03-01
175,1,1589,control,2025-03-01
176,1,2986,test,2025-03-01
177,1,662,test,2025-03-01
178,1,2889,test,2025-03-01
179,1,1702,test,2025-03-01
180,1,2820,control,2025-03-01
181,1,2135,test,2025-03-01
182,1,1191,test,2025-03-01
183,1,2780,test,2025-03-01
184,1,2363,test,2025-03-01
185,1,560,test,2025-03-01
186,1,2165,test,2025-03-01
187,1,1718,test,2025-03-01
188,1,1520,test,2025-03-01
189,1,2128,test,2025-03-01
190,1,1471,test,2025-03-01
191,1,1401,test,2025-03-01
192,1,2592,test,2025-03-01
193,1,809,test,2025-03-01
194,1,2997,test,2025-03-01
195,1,1921,test,2025-03-01
196,1,1554,test,2025-03-01
197,1,1760,control,2025-03-01
198,1,20,test,2025-03-01
199,1,2126,control,2025-03-01
200,1,773,control,2025-03-01
201,1,1340,test,2025-03-01
202,1,903,test,2025-03-01
203,1,206,test,2025-03-01
204,1,2568,test,2025-03-01
205,1,2446,test,2025-03-01
206,1,820,test,2025-03-01
207,1,2864,test,2025-03-01
208,1,180,test,2025-03-01
209,1,2557,test,2025-03-01
210,1,1892,test,2025-03-01
211,1,718,test,2025-03-01
212,1,1119,test,2025-03-01
213,1,2645,test,2025-03-01
214,1,387,control,2025-03-01
215,1,2627,test,2025-03-01
216,1,2784,test,2025-03-01
217,1,2790,test,2025-03-01
218,1,2426,test,2025-03-01
219,1,1415,test,2025-03-01
220,1,2620,test,2025-03-01
221,1,1957,test,2025-03-01
222,1,1500,test,2025-03-01
223,1,338,test,2025-03-01
224,1,571,test,2025-03-01
225,1,976,test,2025-03-01
226,1,371,test,2025-03-01
227,1,2551,test,2025-03-01
228,1,1274,test,2025-03-01
229,1,2676,control,2025-03-01
230,1,544,test,2025-03-01
231,1,2545,test,2025-03-01
232,1,2951,test,2025-03-01
233,1,2170,test,2025-03-01
234,1,2665,test,2025-03-01
235,1,314,control,2025-03-01
236,1,884,test,2025-03-01
237,1,2,test,2025-03-01
238,1,2901,test,2025-03-01
239,1,2472,test,2025-03-01
240,1,1691,test,2025-03-01
241,1,84,test,2025-03-01
242,1,1155,test,2025-03-01
243,1,2698,test,2025-03-01
244,1,339,test,2025-03-01
245,1,2401,test,2025-03-01
246,1,456,test,2025-03-01
247,1,2304,test,2025-03-01
248,1,2467,test,2025-03-01
249,1,2929,test,2025-03-01
250,1,2827,test,2025-03-01
251,1,2814,control,2025-03-01
252,1,902,test,2025-03-01
253,1,2420,test,2025-03-01
254,1,2634,test,2025-03-01
255,1,1675,test,2025-03-01
256,1,1700,test,2025-03-01
257,1,1210,test,2025-03-01
258,1,357,test,2025-03-01
259,1,1962,control,2025-03-01
260,1,794,test,2025-03-01
261,1,2080,test,2025-03-01
262,1,1954,test,2025-03-01
263,1,1159,test,2025-03-01
264,1,1376,test,2025-03-01
265,1,1579,test,2025-03-01
266,1,2874,test,2025-03-01
267,1,511,test,2025-03-01
268,1,1994,test,2025-03-01
269,1,2373,test,2025-03-01
270,1,2616,test,2025-03-01
271,1,2214,test,2025-03-01
272,1,297,test,2025-03-01
273,1,1217,test,2025-03-01
274,1,583,test,2025-03-01
275,1,2150,test,2025-03-01
276,1,1287,test,2025-03-01
277,1,721,test,2025-03-01
278,1,198,test,2025-03-01
279,1,1236,test,2025-03-01
280,1,87,test,2025-03-01
281,1,1881,test,2025-03-01
282,1,1770,test,2025-03-01
283,1,2144,test,2025-03-01
284,1,802,test,2025-03-01
285,1,1642,test,2025-03-01
286,1,1795,control,2025-03-01
287,1,1511,test,2025-03-01
288,1,1060,test,2025-03-01
289,1,864,test,2025-03-01
290,1,2706,test,2025-03-01
291,1,1281,test,2025-03-01
292,1,2650,test,2025-03-01
293,1,2279,test,2025-03-01
294,1,490,control,2025-03-01
295,1,2906,test,2025-03-01
296,1,1486,test,2025-03-01
297,1,1600,test,2025-03-01
298,1,6,test,2025-03-01
299,1,1009,test,2025-03-01
300,1,2397,test,2025-03-01
301,1,907,test,2025-03-01
302,1,2846,test,2025-03-01
303,1,2556,control,2025-03-01
304,1,2074,test,2025-03-01
305,1,301,test,2025-03-01
306,1,881,test,2025-03-01
307,1,2803,test,2025-03-01
308,1,2709,test,2025-03-01
309,1,2702,test,2025-03-01
310,1,89,test,2025-03-01
311,1,1383,test,2025-03-01
312,1,566,test,2025-03-01
313,1,2619,test,2025-03-01
314,1,2934,test,2025-03-01
315,1,2003,test,2025-03-01
316,1,2561,test,2025-03-01
317,1,47,test,2025-03-01
318,1,1438,test,2025-03-01
319,1,1834,test,2025-03-01
320,1,2965,test,2025-03-01
321,1,2292,control,2025-03-01
322,1,1575,test,2025-03-01
323,1,1054,test,2025-03-01
324,1,770,test,2025-03-01
325,1,2524,test,2025-03-01
326,1,974,test,2025-03-01
327,1,1952,test,2025-03-01
328,1,2055,test,2025-03-01
329,1,985,test,2025-03-01
