client_id,gender,age,city,segment,registration_date,is_active,last_activity_at
1,F,22,Москва,young,2023-09-03,False,2025-04-20
2,M,25,Москва,salary,2021-01-10,True,2025-03-28
3,M,24,Санкт-Петербург,salary,2023-01-17,False,2025-03-12
4,M,19,Новосибирск,young,2024-09-20,True,2025-03-20
5,F,21,Москва,young,2020-09-13,True,2025-01-11
6,F,33,Новосибирск,salary,2020-08-04,True,2025-02-25
7,F,42,Новосибирск,premium,2021-03-25,False,2025-04-17
8,M,35,Санкт-Петербург,mass,2022-06-12,False,2024-11-06
9,M,18,Москва,young,2024-04-16,True,2024-11-21
10,M,26,Москва,young,2023-03-10,True,2025-03-24
11,F,18,Екатеринбург,young,2023-03-30,True,2025-04-06
12,M,23,Екатеринбург,young,2020-02-01,True,2025-01-10
13,M,28,Новосибирск,mass,2023-03-21,False,2024-11-07
14,F,24,Казань,young,2023-07-07,True,2025-03-12
15,F,44,Москва,mass,2024-10-17,True,2025-01-11
16,F,29,Москва,salary,2023-07-26,True,2024-12-21
17,F,34,Екатеринбург,mass,2023-08-01,True,2025-01-24
18,F,23,Москва,inactive,2021-09-01,False,2024-05-30
19,F,20,Санкт-Петербург,young,2022-07-05,True,2025-01-03
20,F,22,Санкт-Петербург,salary,2021-06-25,True,2024-11-13
21,M,18,Москва,young,2024-06-13,True,2025-03-07
22,F,24,Москва,young,2020-05-27,True,2025-02-22
23,F,22,Санкт-Петербург,mass,2021-10-17,True,2024-12-07
24,F,50,Москва,mass,2020-03-07,True,2025-04-28
25,F,20,Москва,young,2021-07-23,True,2024-12-24
26,M,58,Екатеринбург,mass,2024-12-21,True,2025-03-13
27,F,36,Новосибирск,salary,2023-07-26,False,2025-02-07
28,F,23,Москва,young,2022-01-17,True,2025-02-21
29,M,22,Екатеринбург,inactive,2021-03-18,True,2024-11-02
30,F,48,Санкт-Петербург,premium,2022-06-15,False,2025-04-12
31,M,23,Санкт-Петербург,young,2021-02-02,True,2024-11-09
32,F,64,Новосибирск,mass,2023-02-25,True,2025-04-05
33,F,56,Екатеринбург,salary,2023-09-22,True,2025-04-06
34,M,58,Новосибирск,premium,2021-04-26,True,2024-11-23
35,M,50,Москва,mass,2024-10-10,True,2025-04-22
36,M,21,Москва,young,2022-08-05,True,2025-02-09
37,F,37,Новосибирск,salary,2020-07-04,True,2025-01-17
38,F,24,Санкт-Петербург,mass,2020-06-17,True,2024-12-13
39,M,32,Москва,mass,2024-09-03,True,2025-02-03
40,F,40,Екатеринбург,inactive,2023-07-07,False,2024-07-02
41,F,31,Новосибирск,salary,2024-10-06,True,2025-01-05
42,F,40,Новосибирск,salary,2024-07-28,True,2024-11-04
43,F,36,Москва,salary,2024-04-30,True,2024-11-17
44,M,23,Новосибирск,young,2021-05-21,True,2025-03-17
45,F,37,Москва,salary,2021-06-04,False,2024-12-17
46,M,46,Москва,salary,2024-02-03,False,2025-03-08
47,F,41,Казань,salary,2020-06-09,True,2025-02-13
48,F,21,Москва,young,2023-08-05,True,2024-11-24
49,F,27,Санкт-Петербург,salary,2020-12-05,True,2025-02-03
50,F,58,Екатеринбург,mass,2024-03-05,True,2025-04-16
51,M,25,Санкт-Петербург,mass,2023-02-03,True,2024-12-05
52,M,43,Москва,mass,2024-02-07,True,2025-03-25
53,M,25,Москва,young,2024-06-11,True,2025-01-11
54,M,27,Санкт-Петербург,mass,2024-01-26,True,2025-04-17
55,M,34,Санкт-Петербург,inactive,2024-02-15,True,2024-12-20
56,M,19,Новосибирск,inactive,2021-12-04,False,2024-11-19
57,F,23,Екатеринбург,mass,2023-03-22,True,2024-11-21
58,F,26,Санкт-Петербург,young,2022-04-02,True,2025-02-19
59,F,19,Новосибирск,young,2024-07-30,True,2025-04-13
60,F,24,Москва,young,2022-02-23,True,2025-01-02
61,F,22,Москва,mass,2023-03-18,True,2025-02-28
62,F,35,Новосибирск,mass,2023-04-26,True,2025-01-17
63,M,43,Санкт-Петербург,mass,2024-08-03,True,2025-03-31
64,F,26,Сочи,young,2020-05-10,True,2025-01-12
65,F,58,Санкт-Петербург,salary,2024-01-15,True,2024-11-18
66,F,44,Новосибирск,salary,2021-05-30,True,2025-04-25
67,F,29,Санкт-Петербург,mass,2024-02-23,True,2024-11-07
68,M,24,Санкт-Петербург,salary,2024-02-08,True,2024-12-14
