event_id,message_id,event_type,event_at
1,1,sent,2025-03-02 12:00:00
2,1,delivered,2025-03-02 12:53:00
3,2,sent,2025-03-02 14:00:00
4,2,delivered,2025-03-02 14:13:00
5,2,clicked,2025-03-02 15:27:00
6,3,sent,2025-03-01 16:00:00
7,3,delivered,2025-03-01 16:10:00
8,3,clicked,2025-03-01 16:27:00
9,4,sent,2025-03-02 13:00:00
10,4,delivered,2025-03-02 13:10:00
11,4,opened,2025-03-02 16:27:00
12,5,sent,2025-03-01 15:00:00
13,5,delivered,2025-03-01 15:19:00
14,6,sent,2025-03-01 13:00:00
15,6,delivered,2025-03-01 13:35:00
16,6,opened,2025-03-01 13:46:00
17,7,sent,2025-03-01 14:00:00
18,7,delivered,2025-03-01 14:23:00
19,8,sent,2025-03-02 08:00:00
20,8,delivered,2025-03-02 08:37:00
21,8,clicked,2025-03-02 11:17:00
22,9,sent,2025-03-02 19:00:00
23,9,delivered,2025-03-02 19:30:00
24,9,opened,2025-03-02 19:35:00
25,10,sent,2025-03-02 14:00:00
26,10,delivered,2025-03-02 14:47:00
27,11,sent,2025-03-02 16:00:00
28,11,delivered,2025-03-02 16:07:00
29,12,sent,2025-03-02 12:00:00
30,12,delivered,2025-03-02 12:56:00
31,12,opened,2025-03-02 12:57:00
32,13,sent,2025-03-01 08:00:00
33,13,delivered,2025-03-01 08:19:00
34,13,opened,2025-03-01 09:28:00
35,14,sent,2025-03-02 19:00:00
36,14,delivered,2025-03-02 19:51:00
37,14,opened,2025-03-02 23:16:00
38,15,sent,2025-03-01 18:00:00
39,15,delivered,2025-03-01 18:06:00
40,16,sent,2025-03-02 12:00:00
41,16,delivered,2025-03-02 12:17:00
42,16,opened,2025-03-02 13:16:00
43,17,sent,2025-03-01 18:00:00
44,17,delivered,2025-03-01 18:01:00
45,18,sent,2025-03-01 13:00:00
46,18,delivered,2025-03-01 13:31:00
47,19,sent,2025-03-02 16:00:00
48,19,delivered,2025-03-02 16:41:00
49,19,opened,2025-03-02 17:54:00
50,20,sent,2025-03-02 09:00:00
51,20,delivered,2025-03-02 09:16:00
52,20,clicked,2025-03-02 10:55:00
53,21,sent,2025-03-02 13:00:00
54,21,delivered,2025-03-02 13:52:00
55,21,clicked,2025-03-02 17:02:00
56,22,sent,2025-03-02 09:00:00
57,22,delivered,2025-03-02 09:16:00
58,22,opened,2025-03-02 12:19:00
59,22,clicked,2025-03-02 15:25:00
60,23,sent,2025-03-02 11:00:00
61,24,sent,2025-03-01 18:00:00
62,24,delivered,2025-03-01 18:05:00
63,25,sent,2025-03-02 12:00:00
64,25,delivered,2025-03-02 12:59:00
65,25,opened,2025-03-02 16:10:00
66,26,sent,2025-03-02 10:00:00
67,27,sent,2025-03-01 09:00:00
68,27,delivered,2025-03-01 09:52:00
69,28,sent,2025-03-01 14:00:00
70,28,delivered,2025-03-01 14:37:00
71,28,opened,2025-03-01 15:47:00
72,29,sent,2025-03-02 11:00:00
73,29,delivered,2025-03-02 11:54:00
74,30,sent,2025-03-01 10:00:00
75,30,delivered,2025-03-01 10:52:00
76,30,opened,2025-03-01 11:06:00
77,31,sent,2025-03-02 17:00:00
78,31,delivered,2025-03-02 17:04:00
79,31,opened,2025-03-02 19:03:00
80,32,sent,2025-03-01 11:00:00
81,32,delivered,2025-03-01 11:34:00
82,33,sent,2025-03-01 19:00:00
83,33,delivered,2025-03-01 19:01:00
84,34,sent,2025-03-02 10:00:00
85,34,delivered,2025-03-02 10:10:00
86,35,sent,2025-03-02 16:00:00
87,36,sent,2025-03-02 12:00:00
88,36,delivered,2025-03-02 12:56:00
89,37,sent,2025-03-02 17:00:00
90,37,delivered,2025-03-02 17:05:00
91,38,sent,2025-03-02 17:00:00
92,39,sent,2025-03-02 18:00:00
93,39,delivered,2025-03-02 18:30:00
94,39,opened,2025-03-02 18:43:00
95,40,sent,2025-03-01 08:00:00
96,40,delivered,2025-03-01 08:19:00
97,40,opened,2025-03-01 10:44:00
98,40,clicked,2025-03-01 14:04:00
99,41,sent,2025-03-02 08:00:00
100,41,delivered,2025-03-02 08:56:00
101,41,opened,2025-03-02 11:08:00
102,42,sent,2025-03-02 18:00:00
103,42,delivered,2025-03-02 18:48:00
104,43,sent,2025-03-01 08:00:00
105,43,delivered,2025-03-01 08:21:00
106,44,sent,2025-03-01 16:00:00
107,44,delivered,2025-03-01 16:19:00
108,44,opened,2025-03-01 17:17:00
109,44,clicked,2025-03-01 18:36:00
110,45,sent,2025-03-02 12:00:00
111,45,delivered,2025-03-02 12:54:00
112,45,opened,2025-03-02 15:57:00
113,46,sent,2025-03-02 16:00:00
114,46,delivered,2025-03-02 16:07:00
115,47,sent,2025-03-02 16:00:00
116,47,delivered,2025-03-02 16:12:00
117,47,opened,2025-03-02 16:31:00
118,48,sent,2025-03-02 09:00:00
119,48,delivered,2025-03-02 09:54:00
120,49,sent,2025-03-02 08:00:00
121,49,delivered,2025-03-02 08:53:00
122,49,opened,2025-03-02 10:53:00
123,49,clicked,2025-03-02 12:15:00
124,50,sent,2025-03-02 11:00:00
125,50,delivered,2025-03-02 11:06:00
126,50,opened,2025-03-02 12:45:00
127,51,sent,2025-03-01 09:00:00
128,51,delivered,2025-03-01 09:40:00
129,51,opened,2025-03-01 12:39:00
130,52,sent,2025-03-02 11:00:00
131,52,delivered,2025-03-02 11:19:00
