message_id,campaign_id,client_id,channel,sent_at,status
1,1,173,push,2025-03-02 12:00:00,delivered
2,1,1205,push,2025-03-02 14:00:00,delivered
3,1,1394,push,2025-03-01 16:00:00,delivered
4,1,1705,push,2025-03-02 13:00:00,delivered
5,1,2445,push,2025-03-01 15:00:00,delivered
6,1,1110,push,2025-03-01 13:00:00,delivered
7,1,73,push,2025-03-01 14:00:00,delivered
8,1,1279,push,2025-03-02 08:00:00,delivered
9,1,1065,push,2025-03-02 19:00:00,delivered
10,1,1006,push,2025-03-02 14:00:00,delivered
11,1,2817,push,2025-03-02 16:00:00,delivered
12,1,2734,push,2025-03-02 12:00:00,delivered
13,1,2450,push,2025-03-01 08:00:00,delivered
14,1,2617,push,2025-03-02 19:00:00,delivered
15,1,2900,push,2025-03-01 18:00:00,delivered
16,1,1451,push,2025-03-02 12:00:00,delivered
17,1,831,push,2025-03-01 18:00:00,delivered
18,1,473,push,2025-03-01 13:00:00,delivered
19,1,1474,push,2025-03-02 16:00:00,delivered
20,1,102,push,2025-03-02 09:00:00,delivered
21,1,1092,push,2025-03-02 13:00:00,delivered
22,1,752,push,2025-03-02 09:00:00,delivered
23,1,2813,push,2025-03-02 11:00:00,bounced
24,1,945,push,2025-03-01 18:00:00,delivered
25,1,1163,push,2025-03-02 12:00:00,delivered
26,1,1597,push,2025-03-02 10:00:00,bounced
27,1,1346,push,2025-03-01 09:00:00,delivered
28,1,1625,push,2025-03-01 14:00:00,delivered
29,1,2542,push,2025-03-02 11:00:00,delivered
30,1,548,push,2025-03-01 10:00:00,delivered
31,1,2324,push,2025-03-02 17:00:00,delivered
32,1,2624,push,2025-03-01 11:00:00,delivered
33,1,1124,push,2025-03-01 19:00:00,delivered
34,1,2804,push,2025-03-02 10:00:00,delivered
35,1,565,push,2025-03-02 16:00:00,bounced
36,1,2999,push,2025-03-02 12:00:00,delivered
37,1,1441,push,2025-03-02 17:00:00,delivered
38,1,311,push,2025-03-02 17:00:00,bounced
39,1,1397,push,2025-03-02 18:00:00,delivered
40,1,270,push,2025-03-01 08:00:00,delivered
41,1,777,push,2025-03-02 08:00:00,delivered
42,1,2767,push,2025-03-02 18:00:00,delivered
43,1,603,push,2025-03-01 08:00:00,delivered
